url,img,title,address,room,square,floor,type,price
https://www.ss.com/msg/lv/real-estate/flats/jurmala/lielupe/fglib.html,https://i.ss.com/gallery/6/1174/293337/58667379.th2.jpg,Продается элегантная трехкомнатная квартира в классическом с,LielupeMežotnes 2,3,100,2/4,Jaun.,270000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/mmock.html,https://i.ss.com/gallery/6/1174/293325/58664929.th2.jpg,"Продаётся светлая уютная квартира на 1 этаже, площадь 63м. В",DzintariLapu 3,2,63,1/2,P. kara,67000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/bdjkjn.html,https://i.ss.com/gallery/6/1151/287608/57521587.th2.jpg,Продаем меблированную 3-х комнатную квартиру в современном п,DzintariDzintaru pr. 64,3,92,3/4,Jaun.,305000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/bmnli.html,https://i.ss.com/gallery/6/1174/293284/58656721.th2.jpg,Продается трехкомнатная квартира на втором этаже с большим п,KauguriTerbatas 31a,3,67,2/5,Specpr.,150000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dubulti/hbkjc.html,https://i.ss.com/gallery/6/1127/281675/56334822.th2.jpg,"Dzīvoklis jaunajā projektā pirmajā līnijā, 1 minūtes pastaig",DubultiZigfrīda Meierovica 11,3,82,1/2,Jaun.,209000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/jaundubulti/bexhgf.html,https://i.ss.com/gallery/5/914/228495/45698815.th2.jpg,На продажу предлагается мебелированная квартира (статус - кв,JaundubultiStrēlnieku pr. 50,3,88,1/4,Jaun.,295000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/dcegp.html,https://i.ss.com/gallery/6/1173/293242/58648315.th2.jpg,Pārdošanā nonācis plašs vienistabas dzīvoklis Kauguros. Dzīv,KauguriTallinas 9,1,39,4/5,M. ģim.,25000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/egxgm.html,https://i.ss.com/gallery/6/1164/290912/58182215.th2.jpg,"Ainaviskā vietā, piejūrās, zaļā rajonā, pārdodas dzīvoklis ķ",KauguriRaiņa 83,2,47,4/5,Specpr.,32000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/jgojb.html,https://i.ss.com/gallery/6/1168/291793/58358554.th2.jpg,"Мечта жить красиво исполняется сейчас. К продаже предлаг",BulduriSaldus 5,3,60,6/6,103,109000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulluciems/lngdx.html,https://i.ss.com/gallery/6/1144/285831/57166150.th2.jpg,Pārdod gaišu studio tipa dzīvokli ar atsevišķi atdalītu guļa,BuļļuciemsLašu 7,2,43,1/3,Specpr.,98000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/bdokep.html,https://i.ss.com/gallery/5/955/238602/47720266.th2.jpg,"Jūrmalā, projektā ''Dzintaru Pērle'', augstas klases dzīvokl",DzintariRīgas 47,3,73,1/3,Jaun.,256200
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/nichc.html,https://i.ss.com/gallery/5/968/241832/48366243.th2.jpg,"Добро пожаловать в прекрасную квартиру в новом проекте ""Фрег",BulduriMeža pr. 19,3,158,2/3,Jaun.,490000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dubulti/ibihj.html,https://i.ss.com/gallery/6/1143/285697/57139239.th2.jpg,Pārdod lielisku apartamentu Jūrmalā ar visām ērtībām un tuvu,DubultiDubultu pr. 33,4,127,2/3,Jaun.,260000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/lielupe/bxpfbe.html,https://i.ss.com/gallery/6/1156/288902/57780334.th2.jpg,Pārdod gaumīgu 2 istabu dzīvokli starp Bulduriem un Lielupi.,LielupeRēzeknes Pulka 17,2,54,02/05/24,Specpr.,119000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/ejnki.html,https://i.ss.com/gallery/6/1033/258060/51611803.th2.jpg,Продаю четырёхкомнатную квартиру на первой линии от моря.,BulduriВидус проспект 51,4,109,02/03/24,Jaun.,358710
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/gxgxo.html,https://i.ss.com/gallery/5/917/229222/45844234.th2.jpg,"В продаже трёхкомнатная просторная квартира с ремонтом, мебе",BulduriVienibas pr. 20,3,75,02/03/24,Jaun.,214000
